"Source domain","Category","Domain","Source Type","Visits","Domain Traffic Split","Traffic Share"
"google.com","online_services,mass_media,publishing","bingx.com","付费搜索","60238","1%","0.86%"
"google.com","online_services,mass_media,publishing","mexc.com","付费搜索","362406","6%","0.86%"
"google.com","online_services,mass_media,publishing","bybit.com","付费搜索","735537","12.17%","0.86%"
"google.com","online_services,mass_media,publishing","binance.com","付费搜索","4555446","75.37%","0.86%"
"google.com","online_services,mass_media,publishing","bitget.com","付费搜索","330396","5.47%","0.86%"
"yandex.ru","online_services","bingx.com","付费搜索","0","0%","< 0.01%"
"yandex.ru","online_services","mexc.com","付费搜索","0","0%","< 0.01%"
"yandex.ru","online_services","bybit.com","付费搜索","26752","100%","< 0.01%"
"yandex.ru","online_services","binance.com","付费搜索","0","0%","< 0.01%"
"yandex.ru","online_services","bitget.com","付费搜索","0","0%","< 0.01%"
"catalog.qc.coccoc.com","n/a","bingx.com","付费搜索","85","0.41%","< 0.01%"
"catalog.qc.coccoc.com","n/a","mexc.com","付费搜索","0","0%","< 0.01%"
"catalog.qc.coccoc.com","n/a","bybit.com","付费搜索","0","0%","< 0.01%"
"catalog.qc.coccoc.com","n/a","binance.com","付费搜索","20432","99.59%","< 0.01%"
"catalog.qc.coccoc.com","n/a","bitget.com","付费搜索","0","0%","< 0.01%"
"bing.com","online_services,entertainment,mass_media","bingx.com","付费搜索","343","1.8%","< 0.01%"
"bing.com","online_services,entertainment,mass_media","mexc.com","付费搜索","2044","10.74%","< 0.01%"
"bing.com","online_services,entertainment,mass_media","bybit.com","付费搜索","2020","10.61%","< 0.01%"
"bing.com","online_services,entertainment,mass_media","binance.com","付费搜索","12587","66.11%","< 0.01%"
"bing.com","online_services,entertainment,mass_media","bitget.com","付费搜索","2045","10.74%","< 0.01%"
"google.com.hk","education","bingx.com","付费搜索","0","0%","< 0.01%"
"google.com.hk","education","mexc.com","付费搜索","1031","7.03%","< 0.01%"
"google.com.hk","education","bybit.com","付费搜索","930","6.34%","< 0.01%"
"google.com.hk","education","binance.com","付费搜索","12585","85.8%","< 0.01%"
"google.com.hk","education","bitget.com","付费搜索","122","0.83%","< 0.01%"
"google.fr","newspapers,mass_media,online_services","bingx.com","付费搜索","183","1.53%","< 0.01%"
"google.fr","newspapers,mass_media,online_services","mexc.com","付费搜索","357","2.98%","< 0.01%"
"google.fr","newspapers,mass_media,online_services","bybit.com","付费搜索","128","1.07%","< 0.01%"
"google.fr","newspapers,mass_media,online_services","binance.com","付费搜索","10914","91.01%","< 0.01%"
"google.fr","newspapers,mass_media,online_services","bitget.com","付费搜索","410","3.42%","< 0.01%"
"google.com.co","n/a","bingx.com","付费搜索","0","0%","< 0.01%"
"google.com.co","n/a","mexc.com","付费搜索","0","0%","< 0.01%"
"google.com.co","n/a","bybit.com","付费搜索","245","2.12%","< 0.01%"
"google.com.co","n/a","binance.com","付费搜索","11286","97.88%","< 0.01%"
"google.com.co","n/a","bitget.com","付费搜索","0","0%","< 0.01%"
"google.com.br","education","bingx.com","付费搜索","2915","28.77%","< 0.01%"
"google.com.br","education","mexc.com","付费搜索","1","< 0.01%","< 0.01%"
"google.com.br","education","bybit.com","付费搜索","2","0.02%","< 0.01%"
"google.com.br","education","binance.com","付费搜索","5874","57.98%","< 0.01%"
"google.com.br","education","bitget.com","付费搜索","1339","13.22%","< 0.01%"
"google.co.uk","education","bingx.com","付费搜索","0","0%","< 0.01%"
"google.co.uk","education","mexc.com","付费搜索","6482","66.21%","< 0.01%"
"google.co.uk","education","bybit.com","付费搜索","0","0%","< 0.01%"
"google.co.uk","education","binance.com","付费搜索","3075","31.41%","< 0.01%"
"google.co.uk","education","bitget.com","付费搜索","233","2.38%","< 0.01%"
"ntp.msn.com","n/a","bingx.com","付费搜索","122","1.47%","< 0.01%"
"ntp.msn.com","n/a","mexc.com","付费搜索","0","0%","< 0.01%"
"ntp.msn.com","n/a","bybit.com","付费搜索","8092","97.21%","< 0.01%"
"ntp.msn.com","n/a","binance.com","付费搜索","110","1.32%","< 0.01%"
"ntp.msn.com","n/a","bitget.com","付费搜索","0","0%","< 0.01%"
"google.ru","online_services","bingx.com","付费搜索","0","0%","< 0.01%"
"google.ru","online_services","mexc.com","付费搜索","1213","14.66%","< 0.01%"
"google.ru","online_services","bybit.com","付费搜索","2450","29.6%","< 0.01%"
"google.ru","online_services","binance.com","付费搜索","1343","16.23%","< 0.01%"
"google.ru","online_services","bitget.com","付费搜索","3271","39.52%","< 0.01%"
"google.ps","publishing,education","bingx.com","付费搜索","0","0%","< 0.01%"
"google.ps","publishing,education","mexc.com","付费搜索","0","0%","< 0.01%"
"google.ps","publishing,education","bybit.com","付费搜索","0","0%","< 0.01%"
"google.ps","publishing,education","binance.com","付费搜索","7963","100%","< 0.01%"
"google.ps","publishing,education","bitget.com","付费搜索","0","0%","< 0.01%"
"context.qc.coccoc.com","n/a","bingx.com","付费搜索","62","0.8%","< 0.01%"
"context.qc.coccoc.com","n/a","mexc.com","付费搜索","1052","13.57%","< 0.01%"
"context.qc.coccoc.com","n/a","bybit.com","付费搜索","0","0%","< 0.01%"
"context.qc.coccoc.com","n/a","binance.com","付费搜索","6636","85.63%","< 0.01%"
"context.qc.coccoc.com","n/a","bitget.com","付费搜索","0","0%","< 0.01%"
"google.de","mass_media","bingx.com","付费搜索","0","0%","< 0.01%"
"google.de","mass_media","mexc.com","付费搜索","298","5.79%","< 0.01%"
"google.de","mass_media","bybit.com","付费搜索","1282","24.89%","< 0.01%"
"google.de","mass_media","binance.com","付费搜索","3511","68.16%","< 0.01%"
"google.de","mass_media","bitget.com","付费搜索","60","1.16%","< 0.01%"
"google.co.jp","n/a","bingx.com","付费搜索","0","0%","< 0.01%"
"google.co.jp","n/a","mexc.com","付费搜索","0","0%","< 0.01%"
"google.co.jp","n/a","bybit.com","付费搜索","0","0%","< 0.01%"
"google.co.jp","n/a","binance.com","付费搜索","1868","43.38%","< 0.01%"
"google.co.jp","n/a","bitget.com","付费搜索","2438","56.62%","< 0.01%"
"yandex.ru","online_services","bingx.com","付费搜索","0","0%","< 0.01%"
"yandex.ru","online_services","mexc.com","付费搜索","0","0%","< 0.01%"
"yandex.ru","online_services","bybit.com","付费搜索","3873","100%","< 0.01%"
"yandex.ru","online_services","binance.com","付费搜索","0","0%","< 0.01%"
"yandex.ru","online_services","bitget.com","付费搜索","0","0%","< 0.01%"
"google.co.kr","education,mass_media","bingx.com","付费搜索","3","0.09%","< 0.01%"
"google.co.kr","education,mass_media","mexc.com","付费搜索","0","0%","< 0.01%"
"google.co.kr","education,mass_media","bybit.com","付费搜索","15","0.44%","< 0.01%"
"google.co.kr","education,mass_media","binance.com","付费搜索","3105","90.05%","< 0.01%"
"google.co.kr","education,mass_media","bitget.com","付费搜索","325","9.43%","< 0.01%"
"google.com.ar","n/a","bingx.com","付费搜索","47","1.4%","< 0.01%"
"google.com.ar","n/a","mexc.com","付费搜索","0","0%","< 0.01%"
"google.com.ar","n/a","bybit.com","付费搜索","142","4.24%","< 0.01%"
"google.com.ar","n/a","binance.com","付费搜索","3158","94.35%","< 0.01%"
