"Source domain","Category","Domain","Source Type","Visits","Domain Traffic Split","Traffic Share"
"google.com","online_services,mass_media,publishing","bingx.com","自然搜索","1228233","2.02%","8.7%"
"google.com","online_services,mass_media,publishing","mexc.com","自然搜索","1889242","3.1%","8.7%"
"google.com","online_services,mass_media,publishing","bybit.com","自然搜索","7767261","12.75%","8.7%"
"google.com","online_services,mass_media,publishing","binance.com","自然搜索","43473250","71.37%","8.7%"
"google.com","online_services,mass_media,publishing","bitget.com","自然搜索","6556197","10.76%","8.7%"
"bing.com","online_services,entertainment,mass_media","bingx.com","自然搜索","29198","2.18%","0.19%"
"bing.com","online_services,entertainment,mass_media","mexc.com","自然搜索","70415","5.26%","0.19%"
"bing.com","online_services,entertainment,mass_media","bybit.com","自然搜索","103294","7.72%","0.19%"
"bing.com","online_services,entertainment,mass_media","binance.com","自然搜索","987163","73.77%","0.19%"
"bing.com","online_services,entertainment,mass_media","bitget.com","自然搜索","148151","11.07%","0.19%"
"yandex.ru","online_services","bingx.com","自然搜索","51164","4.37%","0.17%"
"yandex.ru","online_services","mexc.com","自然搜索","48980","4.18%","0.17%"
"yandex.ru","online_services","bybit.com","自然搜索","313703","26.77%","0.17%"
"yandex.ru","online_services","binance.com","自然搜索","637106","54.37%","0.17%"
"yandex.ru","online_services","bitget.com","自然搜索","120937","10.32%","0.17%"
"duckduckgo.com","n/a","bingx.com","自然搜索","21278","2.78%","0.11%"
"duckduckgo.com","n/a","mexc.com","自然搜索","28586","3.73%","0.11%"
"duckduckgo.com","n/a","bybit.com","自然搜索","52419","6.84%","0.11%"
"duckduckgo.com","n/a","binance.com","自然搜索","586536","76.58%","0.11%"
"duckduckgo.com","n/a","bitget.com","自然搜索","77077","10.06%","0.11%"
"yandex.ru","online_services","bingx.com","自然搜索","1013","0.45%","0.03%"
"yandex.ru","online_services","mexc.com","自然搜索","27956","12.33%","0.03%"
"yandex.ru","online_services","bybit.com","自然搜索","99779","44.02%","0.03%"
"yandex.ru","online_services","binance.com","自然搜索","73809","32.56%","0.03%"
"yandex.ru","online_services","bitget.com","自然搜索","24127","10.64%","0.03%"
"docs.google.com","n/a","bingx.com","自然搜索","9122","4.27%","0.03%"
"docs.google.com","n/a","mexc.com","自然搜索","7549","3.53%","0.03%"
"docs.google.com","n/a","bybit.com","自然搜索","35008","16.37%","0.03%"
"docs.google.com","n/a","binance.com","自然搜索","76004","35.54%","0.03%"
"docs.google.com","n/a","bitget.com","自然搜索","86160","40.29%","0.03%"
"search.yahoo.com","n/a","bingx.com","自然搜索","3618","1.83%","0.03%"
"search.yahoo.com","n/a","mexc.com","自然搜索","16182","8.19%","0.03%"
"search.yahoo.com","n/a","bybit.com","自然搜索","18065","9.14%","0.03%"
"search.yahoo.com","n/a","binance.com","自然搜索","146101","73.91%","0.03%"
"search.yahoo.com","n/a","bitget.com","自然搜索","13702","6.93%","0.03%"
"ntp.msn.com","n/a","bingx.com","自然搜索","5752","3.02%","0.03%"
"ntp.msn.com","n/a","mexc.com","自然搜索","20142","10.58%","0.03%"
"ntp.msn.com","n/a","bybit.com","自然搜索","75771","39.8%","0.03%"
"ntp.msn.com","n/a","binance.com","自然搜索","82028","43.08%","0.03%"
"ntp.msn.com","n/a","bitget.com","自然搜索","6702","3.52%","0.03%"
"google.com.hk","education","bingx.com","自然搜索","349","0.2%","0.02%"
"google.com.hk","education","mexc.com","自然搜索","2093","1.23%","0.02%"
"google.com.hk","education","bybit.com","自然搜索","6353","3.72%","0.02%"
"google.com.hk","education","binance.com","自然搜索","155837","91.34%","0.02%"
"google.com.hk","education","bitget.com","自然搜索","5983","3.51%","0.02%"
"google.com.ua","online_services,education","bingx.com","自然搜索","220","0.19%","0.02%"
"google.com.ua","online_services,education","mexc.com","自然搜索","1051","0.91%","0.02%"
"google.com.ua","online_services,education","bybit.com","自然搜索","9939","8.65%","0.02%"
"google.com.ua","online_services,education","binance.com","自然搜索","102042","88.76%","0.02%"
"google.com.ua","online_services,education","bitget.com","自然搜索","1715","1.49%","0.02%"
"google.ru","online_services","bingx.com","自然搜索","4114","3.68%","0.02%"
"google.ru","online_services","mexc.com","自然搜索","3571","3.19%","0.02%"
"google.ru","online_services","bybit.com","自然搜索","38432","34.36%","0.02%"
"google.ru","online_services","binance.com","自然搜索","49953","44.66%","0.02%"
"google.ru","online_services","bitget.com","自然搜索","15789","14.12%","0.02%"
"google.de","mass_media","bingx.com","自然搜索","803","0.92%","0.01%"
"google.de","mass_media","mexc.com","自然搜索","400","0.46%","0.01%"
"google.de","mass_media","bybit.com","自然搜索","98","0.11%","0.01%"
"google.de","mass_media","binance.com","自然搜索","61119","69.81%","0.01%"
"google.de","mass_media","bitget.com","自然搜索","25128","28.7%","0.01%"
"mail.ru","online_services","bingx.com","自然搜索","645","0.84%","0.01%"
"mail.ru","online_services","mexc.com","自然搜索","8770","11.46%","0.01%"
"mail.ru","online_services","bybit.com","自然搜索","11659","15.23%","0.01%"
"mail.ru","online_services","binance.com","自然搜索","43804","57.23%","0.01%"
"mail.ru","online_services","bitget.com","自然搜索","11665","15.24%","0.01%"
"google.com.tr","education","bingx.com","自然搜索","1686","2.66%","< 0.01%"
"google.com.tr","education","mexc.com","自然搜索","6112","9.66%","< 0.01%"
"google.com.tr","education","bybit.com","自然搜索","276","0.44%","< 0.01%"
"google.com.tr","education","binance.com","自然搜索","53057","83.82%","< 0.01%"
"google.com.tr","education","bitget.com","自然搜索","2164","3.42%","< 0.01%"
"google.fr","newspapers,mass_media,online_services","bingx.com","自然搜索","357","0.58%","< 0.01%"
"google.fr","newspapers,mass_media,online_services","mexc.com","自然搜索","1014","1.64%","< 0.01%"
"google.fr","newspapers,mass_media,online_services","bybit.com","自然搜索","1150","1.86%","< 0.01%"
"google.fr","newspapers,mass_media,online_services","binance.com","自然搜索","56852","91.91%","< 0.01%"
"google.fr","newspapers,mass_media,online_services","bitget.com","自然搜索","2486","4.02%","< 0.01%"
"google.com.br","education","bingx.com","自然搜索","9232","15.45%","< 0.01%"
"google.com.br","education","mexc.com","自然搜索","1032","1.73%","< 0.01%"
